LJ101-0001|Very soon now I shall be strong enough on my cyclone leg to resume my lessons in waltzing.
LJ150-0021|There was serious illness that winter in Thori's party, and Thori and a great number of his people died.
LJ150-0022|Eric the Red also died that winter.
LJ150-0023|There was now much talk about Lief's Wineland journey;
LJ150-0024|and his brother, Thorvald, held that the country had not been sufficiently explored.
LJ150-0025|Now Thorvald, with the advice of his brother, Lief, prepared to make this voyage with thirty men.
LJ150-0026|In the spring, however, Thorvald said that they should put their ship in order, and that a few men should take the after-boat,
LJ150-0027|They found it a fair, well-wooded country.
LJ150-0028|It was but a short distance from the woods to the sea, and there were white sands, as well as great numbers of islands and shallows.
LJ150-0029|They found no other trace of human handiwork; and they turned back, and arrived at Liefs-booths in the autumn.
LJ150-0030|The following summer Thorvald set out toward the east with the ship, and along the northern coast.
LJ150-0031|They were met by a high wind off a certain promontory, and were driven ashore there, and damaged the keel of their ship,
LJ150-0032|"Then said Thorvald to his companions, ""I propose that we raise the keel upon this cape, and call it Keelness""; and so they did."
LJ150-0033|Then they sailed away to the eastward off the land and into the mouth of the adjoining firth and to a headland, which projected into the sea there,
LJ150-0034|They found an anchorage for their ship, and put out the gangway to the land; and Thorvald and all of his companions went ashore.
LJ150-0035|"""It is a fair region here,"" said he; ""and here I should like to make my home."""
LJ150-0036|They then returned to the ship, and discovered on the sands, in beyond the headland, three mounds:
LJ150-0037|They were then so overpowered with sleep that they could not keep awake, and all fell into a heavy slumber
LJ150-0038|and the words of the cry were these:
LJ150-0039|A countless number of skin canoes then advanced toward them from the inner part of the firth, whereupon Thorvald exclaimed,
LJ150-0040|This they did; and the Skrellings, after they had shot at them for a time, fled precipitately, each as best he could.
LJ150-0041|Thorvald then inquired of his men whether any of them had been wounded, and they informed him that no one of them had received a wound.
LJ150-0042|But me ye shall convey to that headland which seemed to me to offer so pleasant a dwelling-place:
LJ150-0043|At that time Christianity had obtained in Greenland:
LJ150-0044|Eric the Red died, however, before the introduction of Christianity.
LJ150-0045|Thorvald died; and, when they had carried out his injunctions, they took their departure, and rejoined their companions, and
LJ150-0046|In the following spring they returned to Greenland, and arrived with their ship in Ericsfirth, where they were able to recount great tidings to Lief...
LJ150-0047|There was now much talk anew about a Wineland voyage, for this was reckoned both a profitable and an honorable enterprise.
LJ150-0048|The same summer that Karlsefni arrived from Wineland a ship from Norway arrived in Greenland.
LJ150-0049|They were descended from an Icelandic family of the East-firths.
LJ150-0050|It is now to be added that Freydis, Eric's daughter, set out from her home at Gardar, and waited upon the brothers,
LJ150-0051|To this they agreed, and she departed thence to visit her brother Lief, and ask him to give her the house which
LJ150-0052|he had caused to be erected in Wineland; but he made her the same answer as that which he had given Karlsefni,
LJ150-0053|They now put out to sea, having agreed beforehand that they would sail in company, if possible, and, altho they were not far apart from each other,
LJ152-0001|The family into which Catherine had married was not an agreeable one.
LJ152-0002|Sixtus IV. was the son of a fisherman on the coast near Ancona, and the whole family were exceedingly vulgar,
LJ152-0003|He was vulgar, uncultured, violent, and arrogant, was loathed by the people for his crimes,
LJ152-0004|However, her life was not without compensations;
LJ152-0005|Few in that age,
LJ152-0006|placed in such a position, would have borne the moral degradation of such a court as that of Sixtus IV, without being contaminated, but
LJ152-0007|Amidst these surroundings Catherine lived for seven years, the first four of them the most prosperous and brilliant of her life.
LJ152-0008|During these seven years she saw an immense change wrought in Rome, which when she arrived was mean and half ruined in appearance,
LJ152-0009|At the same time Sixtus IV. founded the Vatican Library,
LJ152-0010|Catherine took part in these activities, while we are told that she did a great deal of reading,
LJ152-0011|Historians are unanimous that Catherine had no part in any of these plots, nor was told of them.
LJ152-0012|In 1478 the first of Catherine's children was born, a daughter, whom she named Bianca after her beloved grandmother.
LJ152-0013|During the next two years another son and a daughter were born.
LJ152-0014|Then followed the usual feasting, and in the evening a ball, at which Catherine was much admired for her magnificent appearance
LJ152-0015|In September they visited Venice, ostensibly for pleasure, but also with a political object.
LJ152-0016|had sided with Florence, and the Pope now wished to retaliate, and to obtain the help of Venice to enable him
LJ152-0017|After their return to Rome
LJ152-0018|Catherine shuddered at these crimes of her husband, and held herself as much as possible aloof from him,
LJ152-0019|Her husband's baseness filled her with disgust; but when once or twice she reproached him for the vileness of his crimes,
LJ152-0020|"he vented his wrath upon her with such violent brutality that after his death she told the Milanese envoy that she """
